Temp,DO,pH,BOD,NITRATE_N_NITRITE_N,WQI
26.9,6.8,7.7,5,0.4,8.9344
23,7.1,7.4,2.7,0.9,7.9629
23,7,7.4,2.7,0.9,7.9341
23,7.2,7.2,2.7,1,7.9714
23.8,6.8,7.4,2.9,1.5,8.1506
24.6,6.4,7.3,3,1.3,8.1367
24,7,7.3,2.9,1.1,8.1556
24.4,6.7,7.5,2.9,1.3,8.2079
26.3,3.7,7.9,7.5,2.2,8.7475
24.4,5.8,8.1,5.7,2.1,8.7167
28.5,5.9,7.9,11.1,3,10.5412
27.1,3.3,7.7,13.7,3.1,10.0361
27.3,5.3,8,7.2,2.9,9.4588
27.5,5.4,8,7.2,3.2,9.5722
29.5,6.4,8.2,5.3,2,9.6786
29.1,6.2,8.2,5.1,2.3,9.5671
27.3,6.8,8.4,3.8,0.3,8.8921
28.5,6.7,14.7,3,0.2,10.0721
29.6,7.6,8.1,2.1,0.2,9.1222
29.2,6.4,8.4,3,0.3,8.9492
29.8,5.7,7.2,2,0.2,8.4228
29.5,6.3,6.9,1.7,0.1,8.4164
29.7,5.8,6.9,3.8,0.5,8.7646
29.5,5.8,7.3,1.9,0.4,8.4348
30,5.5,7.4,1.5,0.1,8.3263
29.2,6.1,6.7,1.4,0.3,8.249
29.6,6.4,6.7,1,0.2,8.3116
30,6.4,7.6,2.2,0.1,8.7529
30.1,6.3,7.6,2.3,0.1,8.7596
27.8,7.1,7.1,1.2,0.1,8.3037
27.9,6.7,6.4,1.4,0.1,8.1124
29.3,7.4,6.8,1.7,0.4,8.7316
29.2,6.9,7,1.1,0.1,8.4455
30,6,7.5,1.6,0.2,8.5244
29,7.3,7,1.5,0.2,8.6182
29.1,7.3,7,1,0.1,8.5252
28.7,7,6.9,1.2,0.3,8.4237
28.7,7.3,6.7,1.5,0.1,8.4948
29.5,5.3,6.8,1.8,0.3,8.1623
29,6.3,6.4,1.6,1.4,8.4406
29.4,5.4,7.6,1.4,0.1,8.2147
28.3,2.2,6.5,4.7,1.2,7.7028
30.1,5.2,7.1,2.6,0.3,8.4395
30.3,5.6,7.5,1.8,0.1,8.4802
30.5,5.5,7.4,1.5,0.1,8.4108
29.1,7.3,6.7,1.4,0.1,8.5438
30.1,6.5,7.5,2,0.1,8.7428
29.2,7.2,6.3,1.5,0.1,8.4761
24.5,7.6,7.5,1.4,0,7.9847
25,7.4,7.5,1.7,0,8.0674
26.3,6.6,7.9,4.7,0.4,8.7568
29.1,5.8,8.2,1.3,2,8.6942
29.6,5.2,8.2,1.6,2.9,8.8143
28.5,6.3,8.4,0.8,0.9,8.4946
28.3,6.6,8.4,1,1,8.6013
27.9,7,7.8,2.3,1.3,8.83
17.4,5.1,7.9,10.9,0,7.9062
27,6,8.3,8,0,9.3228
26.1,5.1,8.1,11.3,1.1,9.6745
24.9,6,8.2,8.9,1,9.2862
23.9,6.2,8.2,8.9,2.2,9.3782
23.4,5.1,8.2,10.7,2.3,9.3286
24.4,5.4,8.1,10.6,2.7,9.6146
23.7,5.7,8.2,8.9,2.1,9.1834
22.7,7.4,7.4,2.2,0.4,7.8209
21.4,7.3,8,2.3,1,7.8043
23,7.7,8.1,1.5,4.8,8.7038
33.3,4.8,8.3,10.8,6,11.5796
28.1,5.9,8.1,9.1,1.2,9.8507
27.3,5.3,8.2,9.6,1.7,9.73903
25.1,6.2,8.2,9.1,2.4,9.6521
24.3,5.3,8.2,10.6,1.2,9.3333
24.1,5.7,8.2,8.6,0.9,9.0476
24.1,5.5,8.2,10.4,2.9,9.60802
23.7,7.4,7.7,2.1,0.3,8.0101
33.8,4.8,8.2,10.5,6.7,11.7084
24.4,5.5,8.2,10.1,2.7,9.56903
24.9,5.1,8.2,11.1,2.7,9.7243
26.3,4.7,8.4,15.1,11.5,12.1184
23.2,4.2,8.4,13,8.4,10.5345
31.6,5.1,8.3,9.7,2.5,10.5809
21.6,6.9,7.5,0.8,0.5,7.2661
21,7.6,7.6,11,0,9.0606
